-0.96417,-1.0006,-0.99825,1
1.0153,-0.99549,1.0319,-1
1.003,-1.0229,-0.91589,-1
-0.98962,-0.96907,-0.96508,1
-0.99893,-1.0002,-0.95118,1
-0.99971,-1.0007,0.99802,1
-0.99158,0.98894,-1.0652,-1
0.99993,1.0002,-1.0002,1
0.99516,0.98712,-0.99087,1
0.99885,1.0088,0.96868,-1
1.0001,-1.0012,0.99141,-1
-0.98812,-1.0015,-0.92317,1
0.922,-0.97148,-1.0139,-1
0.99124,-0.99429,-0.98233,-1
1.02,-0.99939,0.98145,-1
-1.0766,1.0521,0.98546,1
1.0053,0.96026,-0.92223,1
1.008,1.0101,0.93992,-1
-0.95907,-0.96556,-1.0245,1
-1.004,1.0423,1.0865,1
-0.99043,1.0024,1.0086,1
-1.0397,-1.0678,1.0187,1
1.0024,1.0537,-0.95061,1
-1.0121,-0.98387,-0.97632,1
1.0137,-1.0324,1.0317,-1
0.98269,-1.0164,-1.0369,-1
-1.0177,1.0105,1.0398,1
-0.95076,-1.0017,0.99811,1
0.94923,-1.0505,1.0291,-1
-0.99984,-0.99716,-0.99419,1
-1.0067,-0.99641,1.048,1
1.0026,0.99924,-0.974,1
-0.99688,1.0581,0.93846,1
1.034,0.98097,-0.95719,1
-1.0018,0.99566,1.0086,1
1.0143,1.0134,-0.94651,1
-1.043,0.99697,1.0257,1
1.0745,1.0165,-1.0113,1
1.0172,-0.98091,-1.0547,-1
1.0074,1.0015,-1.0182,1
-0.96153,-0.97722,-0.94221,1
0.95849,0.9857,-1.0323,1
1.0145,-1.0292,0.99717,-1
1.0184,0.98659,-0.99181,1
1.013,-0.97659,0.96796,-1
1.0346,0.99261,0.98376,-1
0.97735,-1.0659,1.0212,-1
0.99522,1.0197,-1.0173,1
1.0099,-0.98712,0.90431,-1
-0.99075,-0.99004,-0.94561,1
-1.0229,-1.0372,-1.0856,1
0.99957,0.9982,0.99899,-1
-0.95115,1.0319,-1.052,-1
0.99995,-1.0015,-0.96741,-1
-0.99991,1.0,-1.0001,-1
1.0027,1.0042,-0.99547,1
-0.99388,-0.98741,0.90609,1
-0.98312,-1.0129,0.92442,1
0.99996,-0.99999,-1.0522,-1
1.0024,-0.99964,0.99715,-1
0.96204,-1.0519,1.0269,-1
1.005,-1.0062,-1.0034,-1
0.99986,-1.0022,1.0275,-1
1.0125,-0.98726,1.0273,-1
1.0027,1.0088,-1.0811,1
-1.0117,-0.92467,-1.0211,1
-1.0181,-0.99614,-0.90285,1
1.0034,0.92938,0.97789,-1
0.96523,-1.007,-0.96606,-1
-0.99134,-1.0076,-0.99623,1
-0.93562,1.0284,-1.035,-1
0.99348,-0.99817,0.98338,-1
1.0291,-1.0203,0.9511,-1
-1.0309,-1.0413,0.95088,1
-0.99733,0.98504,0.9378,1
0.98227,-0.99158,-1.0206,-1
1.0288,1.0149,0.98495,-1
-1.0742,-0.95498,-0.96011,1
-0.99148,1.0025,-1.0209,-1
-0.99779,-1.0033,0.9884,1
-0.97025,0.97349,1.0026,1
-0.99798,-0.99813,1.0036,1
0.99407,0.99426,0.92138,-1
-0.95825,-0.97164,-0.98276,1
-0.95302,-1.0212,0.98766,1
1.0282,-1.0123,-1.0663,-1
-1.0182,1.0232,1.0089,1
0.99382,-0.91006,-1.0188,-1
-1.012,0.96377,-0.93041,-1
0.98023,-0.98548,0.93087,-1
-1.0349,-1.0005,0.93702,1
-0.94176,-0.98142,1.0444,1
-0.99746,-1.0021,1.0025,1
-0.94927,-1.0392,0.98756,1
1.0606,-1.0716,-0.96719,-1
-0.94345,0.97476,1.0612,1
-0.98766,0.99518,1.0193,1
-1.0038,0.99338,-1.0909,-1
1.0041,-0.99918,-1.0313,-1
-0.99757,-1.0061,1.0007,1
-1.0258,1.0254,1.0061,1
